"ID_KEL","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal"
"3171061001","DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",2085,33
"3174021005","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS",2590,50
"3174011003","DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM",3090,51
"3173081003","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",3150,46
"3173081002","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",3781,59
"3175101004","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","MUNJUL",2771,36
"3172051002","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT",4968,77
"3172051001","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",5896,59
"3175011004","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PAL MERIAM",1671,30
"3173071001","DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH",5472,120
"3174081001","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN",2045,32
"3172021003","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",2257,37
"3171021001","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",1646,25
"3174021006","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","PASAR MANGGIS",2023,49
"3174041001","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU",2923,51
"3171041003","DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",2561,37
"3173061005","DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN",4450,59
"3171061002","DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",1972,49
"3172061002","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",4429,69
"3172011004","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN",6027,79
"3174041006","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT",3449,54
